CASE_LBL,Brazil,India,Japan,Korea__South,US,Vietnam,Global
1/25/2021,217664,153587,5193,1371,429179,35,
1/26/2021,218878,153724,5297,1378,433188,35,
1/27/2021,220161,153847,5387,1386,437155,35,
1/28/2021,221547,154010,5500,1399,441162,35,
1/29/2021,222666,154147,5597,1414,444779,35,
1/30/2021,223945,154274,5688,1420,447562,35,
1/31/2021,224504,154392,5753,1425,449420,35,
2/1/2021,225099,154486,5833,1435,451491,35,
2/2/2021,226309,154596,5952,1441,454925,35,
2/3/2021,227563,154703,6068,1448,458832,35,
2/4/2021,228795,154823,6172,1459,462568,35,
2/5/2021,230034,154918,6278,1464,466234,35,
2/6/2021,230034,154996,6372,1471,468904,35,
2/7/2021,231534,155080,6424,1474,470341,35,
2/8/2021,231534,155158,6507,1482,471960,35,
2/9/2021,233520,155252,6602,1486,475033,35,
2/10/2021,234850,155360,6723,1496,478329,35,
2/11/2021,236201,155447,6800,1507,481557,35,
2/12/2021,237489,155550,6863,1514,484467,35,
2/13/2021,238532,155642,6928,1522,486654,35,
2/14/2021,239245,155732,6966,1527,487818,35,
2/15/2021,239773,155813,7038,1534,488777,35,
2/16/2021,240940,155913,7139,1538,490528,35,
2/17/2021,242090,156014,7218,1544,492937,35,
2/18/2021,243457,156111,7294,1550,495466,35,
2/19/2021,244737,156212,7360,1553,498078,35,
2/20/2021,245977,156302,7438,1557,499901,35,
2/21/2021,246504,156385,7485,1562,501133,35,
2/22/2021,247143,156463,7541,1573,502458,35,
2/23/2021,248529,156567,7595,1576,504740,35,
2/24/2021,249957,156705,7664,1581,507909,35,
2/25/2021,251498,156825,7738,1585,510359,35,
2/26/2021,252835,156938,7818,1595,512426,35,
2/27/2021,254221,157051,7859,1603,513944,35,
2/28/2021,254942,157157,7889,1605,515035,35,
3/1/2021,255720,157248,7940,1606,516556,35,
3/2/2021,257361,157346,8005,1612,518513,35,
3/3/2021,259271,157435,8068,1619,520981,35,
3/4/2021,260970,157548,8135,1627,522922,35,
3/5/2021,262770,157656,8190,1632,524705,35,
3/6/2021,264325,157756,8196,1634,526211,35,
3/7/2021,265411,157853,8255,1642,526910,35,
3/8/2021,266398,157930,8301,1645,527648,35,
3/9/2021,268370,158063,8359,1648,529457,35,
3/10/2021,270656,158189,8412,1652,531029,35,
3/11/2021,272889,158306,8457,1662,532582,35,
3/12/2021,275105,158446,8515,1667,534147,35,
3/13/2021,277102,158607,8566,1669,535153,35,
3/14/2021,278229,158725,8587,1675,535731,35,
3/15/2021,279286,158856,8625,1678,536488,35,
3/16/2021,282127,159044,8682,1686,537676,35,
3/17/2021,284775,159216,8718,1688,538892,35,
3/18/2021,287499,159370,8750,1690,540552,35,
3/19/2021,290314,159558,8783,1693,541699,35,
3/20/2021,292752,159755,8802,1696,542436,35,
3/21/2021,294042,159967,8821,1697,542883,35,
3/22/2021,295425,160166,8857,1704,543605,35,
3/23/2021,298676,160441,8908,1707,544482,35,
3/24/2021,300685,160692,8929,1709,545993,35,
3/25/2021,303462,160949,8956,1716,547396,35,
3/26/2021,307112,161240,8989,1721,548547,35,
